Country code,Country name,Region code,Region name,County code,County name,LAD code,LAD name,Average distance to nearest park or public garden (m),Median distance to nearest park or public garden (m),Average size of nearest park or public garden (m2),Median size of nearest park or public garden (m2),"Average number of parks or public gardens within 1,000 m radius","Median number of parks or public gardens within 1,000 m radius","Average combined size of parks or public gardens within 1,000 m radius (m2)","Median combined size of parks or public gardens within 1,000 m radius (m2)",Population ,Average population per park or public garden,Median population per park or public garden,Number of flats within built up area,Number of flats in built up area with gardens,Average garden size for flats in built up area,Number of houses within built up area,Number of houses in built up area with gardens,Average garden size for houses in built up area 
E92000001,England,E12000007,London,E13000001,Inner London,E09000001,City of London,233.87,271.78,2460.22,1112.56,10.72,11.00,37461.37,31900.50,8706,4618.18,998.34,7587,530.78,183.02,74,20.00,12.19
E92000001,England,E12000007,London,E13000001,Inner London,E09000007,Camden,336.78,312.17,385722.79,8776.21,7.58,9.00,1343252.83,254637.00,262226,25719.41,9365.16,106291,61368.58,182.35,12142,11209.00,137.11
E92000001,England,E12000007,London,E13000001,Inner London,E09000012,Hackney,262.71,248.21,115476.08,24210.42,6.79,7.00,442884.87,273485.00,279665,24705.35,23875.07,96557,60614.83,141.17,19049,18618.00,102.14
E92000001,England,E12000007,London,E13000001,Inner London,E09000013,Hammersmith and Fulham,312.69,288.88,48374.74,18291.84,4.59,4.00,207794.77,122135.00,185426,24507.33,21734.71,73978,56596.07,91.94,19502,19095.00,81.08
E92000001,England,E12000007,London,E13000001,Inner London,E09000014,Haringey,318.27,284.94,81492.33,15938.97,6.25,6.00,432719.63,392680.00,270624,16482.23,14021.08,75247,57648.67,152.21,39015,38469.00,112.61
E92000001,England,E12000007,London,E13000001,Inner London,E09000019,Islington,247.56,219.94,37067.84,5806.50,10.43,10.00,295683.11,143851.00,239142,15060.47,10564.53,93986,62627.42,126.18,15357,14683.00,81.53
E92000001,England,E12000007,London,E13000001,Inner London,E09000020,Kensington and Chelsea,355.67,344.28,134090.27,16117.86,4.69,5.00,670460.53,689358.00,156197,28724.89,25380.12,77691,63150.70,108.34,12732,10759.00,91.70
E92000001,England,E12000007,London,E13000001,Inner London,E09000022,Lambeth,323.10,272.16,177291.28,33767.79,5.61,4.00,485443.75,520123.00,325917,32328.73,24190.42,110946,75838.79,140.85,33463,32681.00,131.90
E92000001,England,E12000007,London,E13000001,Inner London,E09000023,Lewisham,309.62,275.12,93177.51,41416.24,4.81,5.00,361364.37,251003.00,303536,18960.22,17125.31,87408,63162.21,199.30,49970,49273.00,144.26
E92000001,England,E12000007,London,E13000001,Inner London,E09000025,Newham,351.92,318.29,158610.92,40448.54,3.60,4.00,490125.40,314168.00,352005,33194.95,22987.20,67179,46121.36,129.31,53486,52927.00,104.84
E92000001,England,E12000007,London,E13000001,Inner London,E09000028,Southwark,235.36,212.85,99620.36,15005.33,10.22,10.00,469298.54,473598.00,317256,15512.66,11969.68,112998,66476.37,158.66,27819,26915.00,124.21
E92000001,England,E12000007,London,E13000001,Inner London,E09000030,Tower Hamlets,209.42,191.66,58022.98,10976.56,11.72,13.00,378053.29,211836.00,317705,13491.06,11274.28,117330,66088.49,129.98,14044,13133.00,65.40
E92000001,England,E12000007,London,E13000001,Inner London,E09000032,Wandsworth,375.33,355.11,607481.00,211362.28,3.48,3.00,1458029.76,832648.00,326474,42788.23,38843.64,107226,67368.01,145.62,42987,42268.00,105.07
E92000001,England,E12000007,London,E13000001,Inner London,E09000033,Westminster,341.37,272.36,235922.53,8996.82,6.06,8.00,1022264.30,1447958.00,255324,28816.88,9850.82,125076,77232.37,99.17,10892,8508.00,86.82
E92000001,England,E12000007,London,E13000002,Outer London,E09000002,Barking and Dagenham,326.58,307.63,244275.63,141261.23,3.24,3.00,737451.33,597932.00,211998,26507.61,23888.84,24731,13394.81,194.60,51230,50805.00,164.79
E92000001,England,E12000007,London,E13000002,Outer London,E09000003,Barnet,390.90,348.13,139178.68,38330.04,3.43,3.00,500258.73,237940.00,392140,16713.21,14929.75,75004,45761.15,243.16,77979,76594.00,285.13
E92000001,England,E12000007,London,E13000002,Outer London,E09000004,Bexley,579.38,477.07,169735.52,44556.94,2.61,2.00,372013.48,177840.00,247258,17706.59,13401.80,25806,15807.28,243.01,72781,71502.00,234.10
E92000001,England,E12000007,London,E13000002,Outer London,E09000005,Brent,442.43,409.05,168829.01,96031.43,2.68,3.00,370964.81,156059.00,330795,33647.89,25388.27,74503,52460.59,189.69,49961,49321.00,243.07
E92000001,England,E12000007,London,E13000002,Outer London,E09000006,Bromley,487.45,414.16,121268.46,43779.65,2.97,3.00,340115.54,156383.00,331096,11477.34,10648.85,46143,27239.84,303.65,94281,92678.00,299.68
E92000001,England,E12000007,London,E13000002,Outer London,E09000008,Croydon,475.25,422.36,225713.22,49764.52,2.76,2.00,411573.12,232611.00,385346,19111.33,15260.99,65984,40683.86,228.46,93347,92113.00,225.20
E92000001,England,E12000007,London,E13000002,Outer London,E09000009,Ealing,374.97,306.00,90079.44,39823.61,4.13,4.00,351445.72,282310.00,341982,14445.17,13728.67,72337,49518.35,192.10,66082,65082.00,150.62
E92000001,England,E12000007,London,E13000002,Outer London,E09000010,Enfield,440.20,390.98,149817.27,48573.28,3.56,3.00,379998.12,232789.00,333869,16347.05,16264.19,53375,33787.87,232.17,73965,73337.00,173.45
E92000001,England,E12000007,London,E13000002,Outer London,E09000011,Greenwich,386.70,336.54,159100.59,50059.26,3.73,4.00,520559.89,414862.00,286186,20842.80,15217.60,64391,41243.82,198.87,55110,54452.00,152.78
E92000001,England,E12000007,London,E13000002,Outer London,E09000015,Harrow,660.52,626.79,73384.25,34418.08,1.89,1.00,149499.11,69414.00,250149,28385.34,23921.54,35036,22003.92,234.11,58441,57656.00,251.48
E92000001,England,E12000007,London,E13000002,Outer London,E09000016,Havering,483.86,434.42,210734.86,64146.13,2.54,2.00,558017.67,243994.00,257810,15484.83,14440.96,26724,16548.02,270.05,78374,77946.00,236.35
E92000001,England,E12000007,London,E13000002,Outer London,E09000017,Hillingdon,590.90,489.95,145541.98,35618.86,2.49,2.00,324232.60,137131.00,304824,14783.03,13309.22,37610,24948.56,253.04,76080,74788.00,215.86
E92000001,England,E12000007,London,E13000002,Outer London,E09000018,Hounslow,429.47,388.23,203681.72,49410.16,2.83,3.00,649132.52,346849.00,270782,20365.93,17740.33,49621,31147.75,200.83,54693,53750.00,164.98
E92000001,England,E12000007,London,E13000002,Outer London,E09000021,Kingston upon Thames,738.99,614.12,1701246.18,36586.36,1.60,1.00,2490337.27,489581.00,175470,28193.58,25595.51,26797,18106.22,264.22,40423,40036.00,228.69
E92000001,England,E12000007,London,E13000002,Outer London,E09000024,Merton,390.69,354.85,277763.46,44802.97,3.60,3.00,848749.50,505459.00,206186,18648.42,14544.44,35548,25813.61,174.18,49761,49259.00,149.00
E92000001,England,E12000007,London,E13000002,Outer London,E09000026,Redbridge,422.54,397.97,423295.27,143822.64,2.54,2.00,835541.07,577364.00,303858,33365.93,30228.39,37139,24927.63,230.21,68484,67770.00,182.81
E92000001,England,E12000007,London,E13000002,Outer London,E09000027,Richmond upon Thames,394.61,349.96,680458.59,40455.43,3.36,3.00,2361497.94,612919.00,196904,17939.38,15426.70,36879,27249.47,239.07,48611,47882.00,179.58
E92000001,England,E12000007,London,E13000002,Outer London,E09000029,Sutton,429.84,387.57,140316.46,33049.14,3.14,3.00,493396.99,177340.00,204525,16475.67,13508.37,32254,22385.82,294.26,51929,51447.00,239.69
E92000001,England,E12000007,London,E13000002,Outer London,E09000031,Waltham Forest,427.88,384.09,123622.59,9660.53,4.33,3.00,311559.39,88543.00,276700,25279.65,20186.44,52736,38156.06,133.38,54544,54094.00,120.39